Name,Team,Wk17,Pos,P Rk,Rank,ADP,Rookie,+/-,id
Chig Okonkwo,TEN,JAX,TE,TE29,209,205.5,,-3.5,f71fb47b-cb8d-436b-a9ea-3a8f7d4da6f5
Quentin Johnston,LAC,NE,WR,WR87,210,181.1,,-28.9,d1320ecb-9461-4fba-97c1-d40ae8c36cb5
Greg Dulcich,DEN,CIN,TE,TE30,211,212.5,,1.5,450097ed-6eb2-419a-897c-cddc4aa48a51
Deneric Prince,KC,PIT,RB,RB64,212,213.7,,1.7,0d8c52b1-1d65-476b-8b70-928503c96cfd
Elijah Mitchell,SF,DET,RB,RB65,213,200.5,,-12.5,878411ca-a020-4d88-8937-615d79934cb2
Dylan Laube,LV,NO,RB,RB66,214,214.5,Rookie,0.5,d2a89bb9-9dc8-4667-8389-75ab8de01b47
DJ Chark Jr.,LAC,NE,WR,WR88,215,197.3,,-17.7,a3f9a932-cb32-4d30-84c0-7e4347bb909f
Dawson Knox,BUF,NYJ,TE,TE31,216,213.5,,-2.5,0500233c-15fa-4054-a18c-558c519b6ef3
Jalen Nailor,MIN,GB,WR,WR89,217,214.0,,-3,04cb59a9-b8d4-4438-98cd-ce59da76f4a5
Ray-Ray McCloud III,ATL,WAS,WR,WR90,218,213.7,,-4.3,c9dab34a-6d7e-4d13-931d-32f357da159e
Tyler Boyd,TEN,JAX,WR,WR91,219,199.2,,-19.8,b85602ca-8575-47c6-9cd5-36aaeaab7038
Kalif Raymond,DET,SF,WR,WR92,220,215.1,,-4.9,cd3ad272-880e-4c6b-9231-5b36000c3690
Tim Patrick,DEN,CIN,WR,WR93,221,215.6,,-5.4,f38f0702-7a00-4b33-8f0e-4dd4540c199d
Josh Reynolds,DEN,CIN,WR,WR94,222,215.3,,-6.7,d2247d86-c874-48e7-a4c7-b82e26cd5c18
Kendrick Bourne,NE,LAC,WR,WR95,223,215.8,,-7.2,4fc64fed-2d9b-48b3-b191-fa68ffd14df4
Luke McCaffrey,WAS,ATL,WR,WR96,224,205.2,Rookie,-18.8,1fe1828f-95e2-4ee6-a853-b15a778297b1
Elijah Moore,CLE,MIA,WR,WR97,225,215.1,,-9.9,99f3f9f4-99bc-4044-887e-7b671d990ba8
Cedric Tillman,CLE,MIA,WR,WR98,226,215.6,,-10.4,f80d5527-7688-4d02-a14e-fd33e8fafc57
Michael Mayer,LV,NO,TE,TE32,227,215.5,,-11.5,df7ae891-91f9-4ca9-a9cd-943bf8d3d548
Mack Hollins,BUF,NYJ,WR,WR99,228,215.8,,-12.2,7d86b339-030c-4675-95c2-c6b61f9b606a
Treylon Burks,TEN,JAX,WR,WR100,229,212.8,,-16.2,e68c8a9b-e51b-4184-b41e-0b9ebf3ad193
Devontez Walker,BAL,HOU,WR,WR101,230,215.1,Rookie,-14.9,54969679-9dbf-4deb-a186-d074a361be7d
Jalin Hyatt,NYG,IND,WR,WR102,231,210.2,,-20.8,aa442ff3-158d-4084-bc7d-31672fba2a61
Malik Washington,MIA,CLE,WR,WR103,232,214.1,Rookie,-17.9,71207b30-eb62-41d8-94af-120bf98f5097
Johnny Wilson,PHI,DAL,WR,WR104,233,214.3,Rookie,-18.7,bd7fdfef-bf95-4c63-ac61-1ca7672ef09f
D'Onta Foreman,CLE,MIA,RB,RB67,234,215.4,,-18.6,e924f874-0ed1-4a72-a3f7-e4980b9eabf4
Bo Melton,GB,MIN,WR,WR105,235,215.6,,-19.4,60308505-0d50-4aad-88e6-7af905d7be9b
Odell Beckham Jr.,MIA,CLE,WR,WR106,236,215.1,,-20.9,d08a736a-bcaa-4efe-ac9d-8669b1d226cb
Ja'Tavion Sanders,CAR,TB,TE,TE33,237,215.1,Rookie,-21.9,65ffbb28-dca4-45c1-8f35-b93688f96de6
Jauan Jennings,SF,DET,WR,WR107,238,213.0,,-25,a536b008-420c-4e5e-a333-c3b05462f128
Zach Ertz,WAS,ATL,TE,TE34,239,214.4,,-24.6,746a77dd-2238-418d-b736-f21ac804caed
Tucker Kraft,GB,MIN,TE,TE35,240,213.8,,-26.2,112e0165-5616-4de6-97fe-3a99d6a48dbe
Zay Jones,ARI,LAR,WR,WR108,241,215.4,,-25.6,841aaf26-5dfb-426e-97f6-046979ea2f56
Keaton Mitchell,BAL,HOU,RB,RB68,242,215.1,,-26.9,36eacb60-5365-4223-9254-718ee383c69d
Samaje Perine,DEN,CIN,RB,RB69,243,215.9,,-27.1,cd52e459-87a8-465f-b612-a51359fa9c19
Nelson Agholor,BAL,HOU,WR,WR109,244,215.9,,-28.1,8751a396-97c5-4d23-bb5e-f69039bbdd85
K.J. Osborn,NE,LAC,WR,WR110,245,215.9,,-29.1,8345b52f-3b03-4d99-8b01-fd2ddbb64975
Will Dissly,LAC,NE,TE,TE36,246,215.8,,-30.2,e8b684d4-eb6d-47a8-872a-bc8d9a30baf4
Aidan O'Connell,LV,NO,QB,QB32,247,215.7,,-31.3,fa05fa48-c595-4b99-8fdd-e50dc8644fce
Trey Sermon,IND,NYG,RB,RB70,248,215.8,,-32.2,c84622c1-dc3c-4b17-a280-98fd65f1d209
Clyde Edwards-Helaire,KC,PIT,RB,RB71,249,215.2,,-33.8,f4d8cdaa-4ace-4c06-93eb-8d0474a850e1
Devaughn Vele,DEN,CIN,WR,WR111,250,216.0,,-34,f9affd61-e6f8-4f54-976e-64b0fed4a976
