"Player","Team","Position","ETR Rank","ETR Pos Rank","ADP","ADP Pos Rank","ADP Differential",
"Miami Dolphins","MIA","DST","243","DST19","141.8","DST9","-101.3",
"Darius Slayton","NYG","WR","244","WR80","250.7","WR81","6.7",
"Mike Gesicki","NE","TE","245","TE30","202.8","TE23","-42.3",
"New York Giants","NYG","DST","246","DST20","188.7","DST14","-57.3",
"Green Bay Packers","GB","DST","247","DST21","184.0","DST13","-63.0",
"Carolina Panthers","CAR","DST","248","DST22","201.0","DST19","-47.0",
"Cincinnati Bengals","CIN","DST","249","DST23","182.8","DST12","-66.3",
"Tampa Bay Buccaneers","TB","DST","250","DST24","250.7","DST27","0.7",
"Indianapolis Colts","IND","DST","251","DST25","276.3","DST30","25.3",
"DeVante Parker","NE","WR","252","WR81","253.3","WR83","1.3",
"Houston Texans","HOU","DST","253","DST26","255.0","DST28","2.0",
"Seattle Seahawks","SEA","DST","254","DST27","201.3","DST20","-52.8",
"Matthew Stafford","LAR","QB","255","QB23","170.8","QB20","-84.3",
"D'Onta Foreman","CHI","RB","256","RB64","165.7","RB48","-90.3",
"Gus Edwards","BAL","RB","257","RB65","219.0","RB66","-38.0",
"Josh Downs","IND","WR","258","WR82","247.0","WR80","-11.0",
"Las Vegas Raiders","LV","DST","259","DST28","223.0","DST23","-36.0",
"Minnesota Vikings","MIN","DST","260","DST29","223.0","DST23","-37.0",
"Brandon Aubrey","DAL","K","261","K32","254.5","K23","-6.5",
"Brock Purdy","SF","QB","262","QB24","177.3","QB22","-84.8",
"Ryan Tannehill","TEN","QB","263","QB25","244.3","QB30","-18.8",
"Los Angeles Rams","LAR","DST","264","DST30","237.3","DST25","-26.7",
"Taysom Hill","NO","TE","265","TE31","198.8","TE22","-66.3",
"Zamir White","LV","RB","266","RB66","176.0","RB53","-90.0",
"John Metchie","HOU","WR","267","WR83","219.0","WR72","-48.0",
"Jordan Love","GB","QB","268","QB26","185.8","QB24","-82.3",
"Cade Otton","TB","TE","269","TE32","278.3","TE35","9.3",
"Allen Robinson","PIT","WR","270","WR84","271.0","WR91","1.0",
"Sean Tucker","TB","RB","271","RB67","291.0","RB73","20.0",
"Bryce Young","CAR","QB","272","QB27","178.8","QB23","-93.3",
"Chase Claypool","CHI","WR","273","WR85","251.7","WR82","-21.3",
"Robert Woods","HOU","WR","274","WR86","264.0","WR88","-10.0",
"Nathaniel Dell","HOU","WR","275","WR87","214.5","WR70","-60.5",
"Isaiah Likely","BAL","TE","276","TE33","264.3","TE32","-11.7",
"Kyler Murray","ARI","QB","277","QB28","189.5","QB25","-87.5",
"Arizona Cardinals","ARI","DST","278","DST31","Unranked","Unranked",,
"Tutu Atwell","LAR","WR","279","WR88","Unranked","Unranked",,
"Cordarrelle Patterson","ATL","RB","280","RB68","190.3","RB55","-89.7",
"Chicago Bears","CHI","DST","281","DST32","240.0","DST26","-41.0",
"Josh Palmer","LAC","WR","282","WR89","292.5","WR94","10.5",
"Mac Jones","NE","QB","283","QB29","230.3","QB29","-52.8",
"Parris Campbell","NYG","WR","284","WR90","219.5","WR73","-64.5",
"Richie James","KC","WR","285","WR91","271.0","WR91","-14.0",
"Zach Ertz","ARI","TE","286","TE34","193.3","TE21","-92.8",
"C.J. Stroud","HOU","QB","287","QB30","206.0","QB26","-81.0",
"Chase Brown","CIN","RB","288","RB69","237.3","RB68","-50.7",
"Latavius Murray","BUF","RB","289","RB70","257.0","RB70","-32.0",
"Kendrick Bourne","NE","WR","290","WR92","Unranked","Unranked",,
"Tyquan Thornton","NE","WR","291","WR93","268.0","WR90","-23.0",
"Deuce Vaughn","DAL","RB","292","RB71","180.5","RB54","-111.5",
"Marvin Jones","DET","WR","293","WR94","263.0","WR87","-30.0",
"DeWayne McBride","MIN","RB","294","RB72","256.0","RB69","-38.0",
"Keaontay Ingram","ARI","RB","295","RB73","285.0","RB72","-10.0",
"Wan'Dale Robinson","NYG","WR","296","WR95","267.0","WR89","-29.0",
"Josh Reynolds","DET","WR","297","WR96","Unranked","Unranked",,
"Terrace Marshall","CAR","WR","298","WR97","283.0","WR93","-15.0",
"Durham Smythe","MIA","TE","299","TE35","277.0","TE34","-22.0",
"Austin Hooper","LV","TE","300","TE36","Unranked","Unranked",,
