Player,Times_Drafted,Made_Playoffs,Advance_Rate
Irv Smith,11132,1398,12.56%
Lynn Bowden,438,55,12.56%
Cornell Powell,941,118,12.54%
Zack Moss,12960,1625,12.54%
Dyami Brown,12871,1609,12.50%
Andy Isabella,40,5,12.50%
Albert Okwuegbunam,32,4,12.50%
Adrian Peterson,32,4,12.50%
Brevin Jordan,32,4,12.50%
Antonio Gandy-Golden,8,1,12.50%
JuJu Smith-Schuster,12960,1617,12.48%
Tyler Kroft,2281,284,12.45%
Cedrick Wilson,201,25,12.44%
Matt Breida,226,28,12.39%
Christopher Herndon,2917,360,12.34%
Chase Edmonds,12960,1597,12.32%
Jake Funk,390,48,12.31%
Maxx Williams,41,5,12.20%
Jaelon Darden,41,5,12.20%
Tony Jones,2349,286,12.18%
Joshua Kelley,411,50,12.17%
Michael Gallup,12960,1574,12.15%
Jordan Akins,611,74,12.11%
Brandon Aiyuk,12960,1567,12.09%
Larry Rountree,621,75,12.08%
DeVante Parker,12960,1564,12.07%
Jaret Patterson,390,47,12.05%
Terrace Marshall,12960,1547,11.94%
Qadree Ollison,1124,134,11.92%
DK Metcalf,12960,1540,11.88%
Mecole Hardman,12960,1531,11.81%
Justin Fields,12960,1525,11.77%
Ke'Shawn Vaughn,77,9,11.69%
Mike Davis,12960,1510,11.65%
DeAndre Hopkins,12960,1489,11.49%
Rashard Higgins,1773,203,11.45%
Ronald Jones,12960,1483,11.44%
Saquon Barkley,12960,1482,11.44%
Auden Tate,245,28,11.43%
Darren Waller,12960,1451,11.20%
Will Fuller,12960,1442,11.13%
Jesper Horsted,9,1,11.11%
D.J. Chark,12960,1433,11.06%
Logan Thomas,12960,1433,11.06%
Marquise Goodwin,412,45,10.92%
Trey Lance,12960,1402,10.82%
Jacob Hollister,47,5,10.64%
Will Dissly,113,12,10.62%
Kenny Golladay,12960,1375,10.61%
La'Mical Perine,38,4,10.53%
Russell Wilson,12960,1361,10.50%
Christian McCaffrey,12960,1341,10.35%
John Ross,29,3,10.34%
Gus Edwards,12960,1340,10.34%
Ryan Tannehill,12960,1337,10.32%
Jerry Jeudy,12960,1329,10.25%
Foster Moreau,59,6,10.17%
Golden Tate,20,2,10.00%
Trevor Lawrence,12960,1287,9.93%
Drew Lock,827,79,9.55%
Ryan Fitzpatrick,12943,1231,9.51%
Laviska Shenault,12960,1232,9.51%
Curtis Samuel,12960,1223,9.44%
Raheem Mostert,12960,1221,9.42%
Anthony McFarland,170,16,9.41%
Clyde Edwards-Helaire,12960,1219,9.41%
Collin Johnson,757,71,9.38%
Keke Coutee,550,51,9.27%
Anthony Schwartz,384,35,9.11%
Kyle Juszczyk,11,1,9.09%
Chris Carson,12960,1165,8.99%
Trey Sermon,12960,1150,8.87%
Miles Sanders,12960,1148,8.86%
Michael Thomas,12960,1144,8.83%
A.J. Brown,12960,1119,8.63%
Calvin Ridley,12960,1107,8.54%
Ian Thomas,24,2,8.33%
Mohamed Sanu,61,5,8.20%
Geoff Swaim,25,2,8.00%
Andy Dalton,63,5,7.94%
Julio Jones,12960,1019,7.86%
Harrison Bryant,142,11,7.75%
James Proche,13,1,7.69%
Allen Robinson,12960,988,7.62%
J.K. Dobbins,10596,806,7.61%
Richie James,171,13,7.60%
Mike Strachan,79,6,7.59%
Travis Etienne,9913,748,7.55%
Thaddeus Moss,73,5,6.85%
Kylin Hill,137,9,6.57%
Caleb Huntley,16,1,6.25%
Darwin Thompson,16,1,6.25%
Mekhi Sargent,17,1,5.88%
Kellen Mond,19,1,5.26%
Josh Gordon,40,2,5.00%
Jake Kumerow,20,1,5.00%
Cam Akers,5087,201,3.95%
Marcus Mariota,28,1,3.57%
