RK,ID,NAME,AGE,POS,POS RK,ADP
241,20838,Tyron Johnson,26,WR,WR112,223
242,19799,Rashaad Penny,25,RB,RB58,224
243,20841,Daniel Jones,24,QB,QB23,225
244,3807,Ben Roethlisberger,39,QB,QB24,226
245,16762,Jameis Winston,28,QB,QB25,227
246,18996,Wayne Gallman,27,RB,RB59,228
247,22495,Zach Wilson,22,QB,QB26,229
248,19812,Sam Darnold,24,QB,QB27,230
249,22602,Tutu Atwell IR,22,WR,WR113,231
250,13337,Mark Ingram II,32,RB,RB60,232
251,20837,Ty Johnson,24,RB,RB61,233
252,21843,Salvon Ahmed,23,RB,RB62,234
253,22496,Mac Jones,23,QB,QB28,235
254,15150,Cordarrelle Patterson,30,RB,RB63,236
255,17920,Carson Wentz,29,QB,QB29,237
256,20039,Boston Scott,26,RB,RB64,238
257,20064,Justin Jackson,25,RB,RB65,239
258,17922,Jared Goff,27,QB,QB30,240
259,21691,Chuba Hubbard,22,RB,RB66,241
260,14865,Marquise Goodwin,31,WR,WR114,242
261,19003,Tarik Cohen,26,RB,RB67,243
262,17970,Devontae Booker,29,RB,RB68,244
263,16308,Albert Wilson,29,WR,WR115,245
264,19937,Keke Coutee,25,WR,WR116,246
265,13878,Mohamed Sanu Sr.,32,WR,WR117,247
266,16497,Teddy Bridgewater,29,QB,QB31,248
267,16510,Jerick McKinnon,29,RB,RB69,249
268,21138,Scotty Miller,24,WR,WR118,250
269,22575,Amari Rodgers,22,WR,WR119,251
270,20762,Travis Fulgham,26,WR,WR120,252
271,22562,Kenneth Gainwell,22,RB,RB70,253
272,18998,Marlon Mack,25,RB,RB71,254
273,20529,Cam Sims,26,WR,WR121,255
274,20988,Preston Williams,24,WR,WR122,256
275,19043,Isaiah McKenzie,26,WR,WR123,257
276,18993,Samaje Perine,26,RB,RB72,258
277,9906,Danny Amendola,36,WR,WR124,259
278,21776,Joshua Kelley,24,RB,RB73,260
279,21730,Collin Johnson,24,WR,WR125,261
280,19705,Greg Ward,26,WR,WR126,262
281,14901,Kyle Juszczyk,30,FB,RB74,263
282,16790,Phillip Dorsett II,29,WR,WR127,264
283,20360,Jeff Wilson Jr.,26,RB,RB75,265
284,21967,Isaiah Coulter,23,WR,WR128,266
285,16141,Willie Snead IV,29,WR,WR129,267
286,21960,Freddie Swain,23,WR,WR130,268
287,22609,Shi Smith,23,WR,WR131,269
288,18926,Zay Jones,26,WR,WR132,270
289,22591,Dez Fitzpatrick,24,WR,WR133,271
290,21777,Larry Rountree III,23,RB,RB76,272
291,12831,Tyrod Taylor,32,QB,QB32,273
292,19044,Jamal Agnew,26,WR,WR134,274
293,22556,Jaret Patterson,22,RB,RB77,275
294,18992,Dede Westbrook,28,WR,WR135,276
295,19120,David Moore,27,WR,WR136,277
296,20013,Cedrick Wilson,26,WR,WR137,278
297,21804,DeeJay Dallas,23,RB,RB78,279
298,20835,KeeSean Johnson,25,WR,WR138,280
299,22678,Jake Funk,24,RB,RB79,281
300,22588,Anthony Schwartz,21,WR,WR139,282
